,ORG_NOME,PAPP_COD,PAPP_NOME,PAPP_PN,APAA_CODI,APAA_DATA,APAA_STATUS
0,AEROMOT AERONAVES E MOTORES S/A,4939,Pastilha de Freio,AM-110121-32-13000,2024P12-01A,2025-08-27,V
1,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,579,Amortecedor,2119-0001-001,2000P06-05,2000-07-06,V
2,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,581,Atuador de Porta,2106-2001-001,2000P06-02,2000-07-06,V
3,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,583,Atuador Hidráulico,2106-0500-001,2000P06-01,2000-07-06,V
4,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,584,Atuador Hidráulico,2108-0050-003,2000P06-03,2000-07-06,V
5,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,585,Atuador Hidráulico,2114-0001-001,2000P06-12,2000-07-06,V
6,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,586,Atuador Hidráulico,2118-0100-401,2000P06-04,2000-07-06,V
7,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,588,Atuador Hidráulico,2309-3700-503,2006P11-03,2006-11-13,V
8,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,595,Relé de Proteção,2903-0002-001,2000P06-11,2000-07-06,V
9,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,599,Válvula de Alívio,2228-0001-005,2000P06-08,2000-07-06,V
10,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,600,Válvula de Corte,2226-0001-007,2000P06-06,2000-07-06,V
11,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,601,Válvula de Sangria,2238-0001-001,2000P06-10,2000-07-06,V
12,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,602,Válvula Unidirecional ,2241-0001-001,2006P11-05,2006-11-13,V
13,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,603,Válvula Unidirecional,2241-0020-001,2006P11-06,2006-11-13,V
